date,day as a number,Physical distancing-Closure of educational institutions-Daycare nursery,International travel-Travel advice-Not applicable,International travel-Total border closure-Not applicable,Case management and quarantine-Contact tracing-Mobile technology,Physical distancing-Measures for special populations-Stay at home risk groups,Physical distancing-Closure of public spaces-Restaurants cafes,Physical distancing-Closure of public spaces-Entertainment venues,Physical distancing-Closure of public spaces-Gyms sports centres,Physical distancing-Workplace measures-Teleworking,Case management and quarantine-Contact tracing-Other,Case management and quarantine-Quarantine-For contacts,General-Exemptions to NPIs-Vaccination proof,Hygiene and safety measure-Other-Not applicable,Physical distancing-Measures for special populations-Visiting restrictions,Physical distancing-Closure of educational institutions-Higher Education,International travel-Quarantine for international travellers-Not applicable,Physical distancing-Public gathering restriction-Ban on all events,International travel-Border screening-PCR/rapid antigen testing,Physical distancing-Private gathering restriction-Gathering,Physical distancing-Closure of educational institutions-Secondary School,Physical distancing-Closure of educational institutions-Primary School,Hygiene and safety measure-Protective mask use community-Closed public spaces,Hygiene and safety measure-Protective mask use community-All public spaces,Case management and quarantine-Isolation of case-Not applicable,Physical distancing-Public gathering restriction-Indoor over 500,General-Communication to the public-Not applicable,General-Communication to healthcare services-Not applicable,Physical distancing-Public gathering restriction-Indoor over 100,Physical distancing-Public gathering restriction-Outdoor over 500,Physical distancing-Closure of public spaces-Place of worship,Physical distancing-Closure of public spaces-Non essential shops,Internal travel-Travel restrictions-Cordon sanitaire
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,12,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,13,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,14,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,15,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,16,2,2,2,0,0,0,0,0,0,0,2,0,0,0,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,17,2,2,2,0,0,2,2,2,0,0,2,0,0,0,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,18,2,2,2,0,0,2,2,2,0,0,2,0,0,0,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,19,2,2,2,0,0,2,2,2,0,0,2,0,0,0,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,20,2,2,2,0,0,2,2,2,0,0,2,0,0,0,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,21,2,2,2,0,0,2,2,2,0,0,2,0,0,0,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,22,2,2,2,0,0,2,2,2,0,0,2,0,0,0,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-03-24,23,2,2,2,0,0,2,2,2,0,0,2,0,0,0,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-03-25,24,2,2,2,0,0,2,2,2,0,0,2,0,0,0,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-03-26,25,2,2,2,0,0,2,2,2,0,0,2,0,0,0,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-03-27,26,2,2,2,0,0,2,2,2,0,0,2,0,0,0,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-03-28,27,2,2,2,0,2,2,2,2,0,0,2,0,0,0,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-03-29,28,2,2,2,0,2,2,2,2,0,0,2,0,0,0,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-03-30,29,2,2,2,0,2,2,2,2,0,0,2,0,0,0,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-03-31,30,2,2,2,0,2,2,2,2,0,0,2,0,0,0,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-04-01,31,2,2,2,0,2,2,2,2,0,0,2,0,0,0,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-04-02,32,2,2,2,0,2,2,2,2,0,0,2,0,0,0,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-04-03,33,2,2,2,0,2,2,2,2,0,0,2,0,0,0,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-04-04,34,2,2,2,0,2,2,2,2,0,0,2,0,0,0,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-04-05,35,2,2,2,0,2,2,2,2,0,0,2,0,0,0,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-06,36,2,2,2,0,2,2,2,2,0,0,2,0,0,0,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-07,37,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
